Exp;RepTraining;RepValidation;RepTesting;rangeDownTrain;rangeDownValidation;rangeDownTest;list_users;list_users_validation;list_users_test;seed_rng;decay_rate_alpha;epochs;rewards;gameReplayStrategy;experience_replay_reserved_space;epsilon_initial;loss_type;window_size;stride;learning_rate;batch_size;gamma;interval_for_learning;layers_conv_network;layers_network;global_epochs;note;estado;modelo
1;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;more exp rep, more epoch and less update;-;lr1
2;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;lr 3e-3;+;lr1
3;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;3.00E-04;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;lr 3e-4;-;lr1
4;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;gamma0;-;gamma1
5;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.3|D-64-kaiming|A-relu|D-6-xavier;1;un dropout 0.3;+;dropout1
6;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.2|D-64-kaiming|A-relu|D-6-xavier;1;un dropout 0.2;-;dropout1
7;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-8-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|Dropout-0.2|D-64-kaiming|A-relu|Dropout-0.2|D-6-xavier;1;doble dropout 0.2;x;dropout1
8;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-3-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;3filtros;x;filtro1
9;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-4-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;4filtros;-;filtro1
10;20;10;15;26;26;26;[8];[206];[1];44;0.1;5;[1, -1];1;100;1;mse;300;30;1.00E-03;128;0.1;10;C-[1, 3]-16-0-1|A-relu|P-max-[1,2];D-64-kaiming-auto|A-relu|D-64-kaiming|A-relu|D-6-xavier;1;16filtros;+;filtro1
